Team,Fifa rating
USA,2090.3
England,2040.76
Spain,2002.28
Germany,2061.56
Australia,1919.69
France,2026.65
Sweden,2049.71
Netherlands,1980.47
Brazil,1995.3
Japan,1916.68
Canada,1996.34
Norway,1908.25
Denmark,1866.25
South Korea,1840.27
Portugal,1745.13
China,1854.49
Italy,1846.5
Switzerland,1765.9
Ireland,1743.59
Colombia,1702.64
Argentina,1682.45
New Zealand,1699.7
Zambia,1298.31
Haiti,1475.33
Nigeria,1554.94
South Africa,1471.52
Morocco,1334.08
Costa Rica,1596.94
Jamaica,1536.81
Panama,1482.51
Vietnam,1648.89
Philippines,1512.97
